"status_type","status_published","num_comments","num_shares","num_likes","num_loves","num_wows","num_hahas","num_sads","num_angrys","dow","moy","pos_emo_int","neg_emo_int"
"video",2018-04-22 06:00:00,512,262,432,92,3,1,1,0,7,4,268288,512
"photo",2018-04-21 22:45:00,0,0,150,0,0,0,0,0,6,4,0,0
"video",2018-04-21 06:17:00,236,57,204,21,1,1,0,0,6,4,53100,0
"photo",2018-04-21 02:29:00,0,0,111,0,0,0,0,0,6,4,0,0
"photo",2018-04-18 03:22:00,0,0,204,9,0,0,0,0,3,4,0,0
"photo",2018-04-18 02:14:00,6,0,211,5,1,0,0,0,3,4,1296,0
"video",2018-04-18 00:24:00,614,72,418,70,10,2,0,3,3,4,299632,1842
"video",2018-04-17 07:42:00,453,53,260,32,1,1,0,1,2,4,132276,453
"photo",2018-04-17 03:33:00,1,0,198,5,0,0,0,0,2,4,203,0
"photo",2018-04-11 04:53:00,9,1,167,3,0,0,0,0,3,4,1530,0
"photo",2018-04-10 01:01:00,2,3,202,7,1,0,0,0,2,4,418,0
"photo",2018-04-09 02:06:00,4,0,213,5,4,0,0,0,1,4,872,0
"photo",2018-04-08 05:10:00,4,2,305,6,2,0,0,0,7,4,1244,0
"photo",2018-04-08 02:23:00,4,0,200,8,1,0,0,0,7,4,832,0
"photo",2018-04-05 09:23:00,11,0,335,10,1,0,0,0,4,4,3795,0
"video",2018-04-01 05:16:00,100,30,303,23,1,5,0,0,7,4,32600,0
"video",2018-03-30 08:28:00,256,79,117,18,0,0,0,0,5,3,34560,0
"video",2018-03-26 08:28:00,173,47,132,16,1,0,1,0,1,3,25604,173
"video",2018-03-23 07:09:00,166,36,192,28,0,1,0,0,5,3,36520,0
"photo",2018-03-22 01:25:00,2,0,149,3,0,0,0,0,4,3,304,0
"photo",2018-03-21 08:40:00,15,1,221,12,1,0,0,0,3,3,3495,0
"photo",2018-03-21 07:46:00,7,1,217,7,2,1,0,0,3,3,1568,0
"photo",2018-03-20 01:54:00,0,0,96,0,2,0,0,0,2,3,0,0
"video",2018-03-20 01:28:00,0,0,18,0,0,0,0,0,2,3,0,0
"photo",2018-03-20 00:15:00,0,0,100,0,2,0,0,0,2,3,0,0
"video",2018-03-19 22:34:00,0,1,37,0,0,0,0,0,1,3,0,0
"video",2018-03-17 08:07:00,36,14,70,5,0,0,0,0,6,3,2700,0
"video",2018-03-17 07:47:00,78,9,85,5,0,0,0,0,6,3,7020,0
"photo",2018-03-12 05:51:00,9,0,138,7,0,0,0,0,1,3,1305,0
"video",2018-03-09 07:45:00,300,31,229,22,1,1,0,0,5,3,75300,0
"photo",2018-03-09 05:55:00,0,0,81,2,2,0,0,0,5,3,0,0
"video",2018-03-07 13:10:00,14,0,40,5,0,0,0,0,3,3,630,0
"photo",2018-03-07 06:13:00,0,0,85,4,2,1,0,0,3,3,0,0
"photo",2018-03-07 04:46:00,1,0,116,8,1,0,0,0,3,3,124,0
"photo",2018-03-05 08:32:00,4,0,116,3,0,0,0,0,1,3,476,0
"photo",2018-03-05 02:48:00,8,0,281,11,1,0,0,0,1,3,2336,0
"video",2018-03-02 09:55:00,137,26,110,16,2,0,0,0,5,3,17262,0
"photo",2018-02-28 08:19:00,15,13,78,5,1,0,0,0,3,2,1245,0
