"status_type","status_published","num_comments","num_shares","num_likes","dow","moy","pos_emo_int"
"photo",2016-02-23 23:36:00,18,2,279,2,2,5022
"status",2016-02-20 01:50:00,13,1,68,6,2,884
"status",2016-02-18 10:51:00,19,0,106,4,2,2014
"status",2016-02-18 02:30:00,19,2,73,4,2,1387
"status",2016-02-16 22:07:00,14,0,68,2,2,952
"photo",2016-02-14 07:03:00,5,0,12,7,2,60
"photo",2016-02-14 07:03:00,4,0,10,7,2,40
"video",2016-02-13 09:34:00,0,0,35,6,2,0
"link",2016-02-13 04:45:00,1,0,40,6,2,40
"video",2016-02-12 22:48:00,9,4,44,5,2,396
"link",2016-02-12 22:41:00,0,0,6,5,2,0
"photo",2016-02-12 03:55:00,4,0,80,5,2,320
"photo",2016-02-12 03:55:00,8,0,83,5,2,664
"photo",2016-02-12 01:25:00,2,1,66,5,2,132
"photo",2016-02-09 05:26:00,3,0,421,2,2,1263
"photo",2016-02-08 05:36:00,5,1,246,1,2,1230
"photo",2016-02-07 10:36:00,0,0,151,7,2,0
"photo",2016-02-07 09:56:00,6,0,304,7,2,1824
"photo",2016-02-07 06:51:00,19,2,263,7,2,4997
"photo",2016-02-04 04:09:00,16,2,216,4,2,3456
"status",2016-02-02 01:32:00,9,0,42,2,2,378
"photo",2016-02-02 01:17:00,11,0,289,2,2,3179
"photo",2016-02-01 07:26:00,8,0,330,1,2,2640
"photo",2016-02-01 05:28:00,2,0,320,1,2,640
"photo",2016-02-01 04:27:00,9,0,355,1,2,3195
"photo",2016-01-31 11:08:00,4,0,242,7,1,968
"photo",2016-01-31 07:20:00,13,0,471,7,1,6123
"photo",2016-01-31 02:24:00,7,0,320,7,1,2240
"photo",2016-01-30 09:21:00,2,0,486,6,1,972
"photo",2016-01-30 04:46:00,6,0,353,6,1,2118
"photo",2016-01-30 04:22:00,10,0,469,6,1,4690
"photo",2016-01-30 03:03:00,37,1,271,6,1,10027
"photo",2016-01-30 00:55:00,3,0,228,6,1,684
"photo",2016-01-29 07:11:00,11,0,495,5,1,5445
"photo",2016-01-29 03:29:00,5,0,381,5,1,1905
"photo",2016-01-28 06:07:00,10,0,480,4,1,4800
"photo",2016-01-26 23:33:00,6,0,140,2,1,840
"photo",2016-01-25 02:08:00,11,0,443,1,1,4873
"photo",2016-01-24 01:14:00,1,16,182,7,1,182
"photo",2016-01-23 02:05:00,0,1,121,6,1,0
"photo",2016-01-22 03:01:00,9,0,49,5,1,441
"status",2016-01-20 05:30:00,0,0,227,3,1,0
"photo",2016-01-17 02:34:00,6,0,230,7,1,1380
"photo",2016-01-16 03:43:00,26,2,192,6,1,4992
"photo",2016-01-15 07:58:00,11,0,417,5,1,4587
"photo",2016-01-15 07:34:00,8,0,552,5,1,4416
"status",2016-01-15 01:33:00,12,0,111,5,1,1332
"photo",2016-01-13 03:11:00,19,1,130,3,1,2470
"photo",2016-01-11 10:42:00,11,0,100,1,1,1100
"video",2016-01-11 04:30:00,11,0,50,1,1,550
