"status_published","num_comments","num_shares","num_likes","pos_emo_int","status_typelink","status_typephoto","status_typestatus","status_typevideo","mon","tues","wed","thurs","fri","sat","sun","jan","feb","mar","apr","may","jun","jul","aug","sep","oct","nov","dec"
2016-02-23 23:36:00,0.0353634577603143,0.0104712041884817,0.0592356687898089,0.00424633835757517,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2016-02-20 01:50:00,0.0255402750491159,0.00523560209424084,0.0144373673036093,0.000747463780982966,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2016-02-18 10:51:00,0.037328094302554,0,0.0225053078556263,0.00170293218880056,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2016-02-18 02:30:00,0.037328094302554,0.0104712041884817,0.0154989384288747,0.00117277405455133,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2016-02-16 22:07:00,0.0275049115913556,0,0.0144373673036093,0.000804960994904732,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2016-02-14 07:03:00,0.00982318271119843,0,0.00254777070063694,5.07328358133235e-05,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2016-02-14 07:03:00,0.00785854616895874,0,0.00212314225053079,3.38218905422156e-05,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2016-02-13 09:34:00,0,0,0.00743099787685775,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2016-02-13 04:45:00,0.00196463654223969,0,0.00849256900212314,3.38218905422156e-05,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2016-02-12 22:48:00,0.0176817288801572,0.0209424083769634,0.00934182590233546,0.000334836716367935,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2016-02-12 22:41:00,0,0,0.00127388535031847,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2016-02-12 03:55:00,0.00785854616895874,0,0.0169851380042463,0.000270575124337725,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2016-02-12 03:55:00,0.0157170923379175,0,0.0176220806794055,0.00056144338300078,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2016-02-12 01:25:00,0.00392927308447937,0.00523560209424084,0.0140127388535032,0.000111612238789312,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2016-02-09 05:26:00,0.00589390962671906,0,0.0893842887473461,0.00106792619387046,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2016-02-08 05:36:00,0.00982318271119843,0.00523560209424084,0.0522292993630573,0.00104002313417313,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2016-02-07 10:36:00,0,0,0.0320594479830149,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2016-02-07 09:56:00,0.0117878192534381,0,0.0645435244161359,0.00154227820872503,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2016-02-07 06:51:00,0.037328094302554,0.0104712041884817,0.0558386411889597,0.00422519967598629,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2016-02-04 04:09:00,0.031434184675835,0.0104712041884817,0.045859872611465,0.00292221134284743,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2016-02-02 01:32:00,0.0176817288801572,0,0.0089171974522293,0.000319616865623938,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2016-02-02 01:17:00,0.0216110019646365,0,0.0613588110403397,0.00268799475084259,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2016-02-01 07:26:00,0.0157170923379175,0,0.0700636942675159,0.00223224477578623,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2016-02-01 05:28:00,0.00392927308447937,0,0.0679405520169851,0.00054115024867545,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2016-02-01 04:27:00,0.0176817288801572,0,0.0753715498938429,0.00270152350705947,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2016-01-31 11:08:00,0.00785854616895874,0,0.051380042462845,0.000818489751121618,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2016-01-31 07:20:00,0.0255402750491159,0,0.1,0.00517728589474966,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2016-01-31 02:24:00,0.0137524557956778,0,0.0679405520169851,0.00189402587036408,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2016-01-30 09:21:00,0.00392927308447937,0,0.103184713375796,0.00082187194017584,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2016-01-30 04:46:00,0.0117878192534381,0,0.0749469214437367,0.00179086910421032,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2016-01-30 04:22:00,0.0196463654223969,0,0.0995753715498938,0.00396561666607478,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2016-01-30 03:03:00,0.0726915520628684,0.00523560209424084,0.0575371549893843,0.0084783024116699,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2016-01-30 00:55:00,0.00589390962671906,0,0.0484076433121019,0.000578354328271887,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2016-01-29 07:11:00,0.0216110019646365,0,0.105095541401274,0.0046040048500591,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2016-01-29 03:29:00,0.00982318271119843,0,0.0808917197452229,0.00161076753707302,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2016-01-28 06:07:00,0.0196463654223969,0,0.101910828025478,0.00405862686506588,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2016-01-26 23:33:00,0.0117878192534381,0,0.029723991507431,0.000710259701386528,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2016-01-25 02:08:00,0.0216110019646365,0,0.0940552016985138,0.00412035181530542,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2016-01-24 01:14:00,0.00196463654223969,0.0837696335078534,0.0386411889596603,0.000153889601967081,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2016-01-23 02:05:00,0,0.00523560209424084,0.0256900212314225,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2016-01-22 03:01:00,0.0176817288801572,0,0.0104033970276008,0.000372886343227927,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2016-01-20 05:30:00,0,0,0.0481953290870488,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2016-01-17 02:34:00,0.0117878192534381,0,0.0488322717622081,0.00116685522370644,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2016-01-16 03:43:00,0.0510805500982318,0.0104712041884817,0.0407643312101911,0.00422097193966851,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2016-01-15 07:58:00,0.0216110019646365,0,0.0885350318471338,0.00387852529792858,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2016-01-15 07:34:00,0.0157170923379175,0,0.117197452229299,0.00373393671586061,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2016-01-15 01:33:00,0.0235756385068762,0,0.0235668789808917,0.00112626895505578,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2016-01-13 03:11:00,0.037328094302554,0.00523560209424084,0.0276008492569002,0.00208850174098182,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2016-01-11 10:42:00,0.0216110019646365,0,0.0212314225053079,0.00093010198991093,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
